Electrical Infrastructure,PSA Oxygen Plant,Surgical Bed Expansion,Operational Costs,Total Cost
94428059.30842729,76264905.49601644,71849054.9444086,370610934.53101987,613152954.2798722
83998470.01842064,73449730.35851672,78381670.19235209,345198259.29336184,581028129.8626513
80891984.69945107,79658021.75555305,63385940.680065714,286462885.4751695,510398832.6102393
90653342.04860397,61559021.205252826,49621900.37213986,261366298.21213272,463200561.8381294
74150934.24590161,76069490.23301665,58664457.22375874,250766095.5138951,459650977.2165721
110277679.45962594,78201898.30468273,68504599.8809772,262290473.56702194,519274651.2123078
79927427.68908475,75579137.83468765,57155849.471896976,306243843.1987096,518906258.194379
79210617.55335876,71998574.7537942,59788114.68803077,365233898.0965892,576231205.0917729
87019656.05384591,67323824.49896018,69370982.75306232,264732832.92518365,488447296.23105204
90174118.14935398,61156594.72146001,51855726.76687109,288064989.1951692,491251428.8328543
98155408.51060663,79737977.58983728,66998905.90632703,296822603.0835109,541714895.0902818
68822302.14383692,66375431.59143449,58258947.26972884,328098150.46243376,521554831.467434
92141164.53038618,62867954.40297322,63878591.21819045,284177165.7719708,503064875.9235206
78248878.03812225,79693691.44903466,75508707.79093084,350759410.56186914,584210687.8399569
76241414.05235787,71233239.98711039,66315290.757126436,338075269.81082815,551865214.6074228
80766431.49258836,73207752.0551784,56771713.125722066,254511397.77303296,465257294.44652176
99326432.56419435,91675516.96339446,71281730.72624612,354542398.3240713,616826078.5779063
92407405.60886495,71577429.58007695,67602270.95668006,363612605.7273575,595199711.8729794
86709056.18017378,91059472.87650211,52047540.485574216,320865618.4510849,550681687.993335
88432096.7670522,73756910.22433831,66059930.60000562,241574457.74618265,469823395.3375788
84193491.59822746,78680874.39873543,79625190.16109051,300765760.70924485,543265316.8672982
76617451.29500422,69744718.17767647,70496667.71259134,317952488.8797919,534811326.06506395
80114806.78022866,79215422.9586087,67543928.22850116,342831660.9817175,569705818.949056
77934602.6495501,71436587.34705275,61029584.84986941,250475517.02983227,460876291.8763045
91442975.57083099,79284196.09801471,67468070.6884819,299115297.5840162,537310539.9413438
69521827.47791848,68866475.16697656,60001849.84804577,267777508.30369738,466167660.79663813
84984379.43909375,79276396.81934418,83883835.87068483,330109854.74266773,578254466.8717905
90879918.18796419,76164620.3183582,52825738.99330009,287667778.2863686,507538055.7859911
88053148.342452,101368700.01829033,72535932.08461742,330776885.6301432,592734666.075503
86724529.65604453,66415479.17535969,71647269.94381559,334307602.69580406,559094881.4710238
98985139.99762855,70517254.39694391,76404563.17465119,267069966.6014852,512976924.17070884
95801043.74645665,100121974.84787458,66055366.23286041,292729021.7042988,554707406.5314904
88610770.77703728,72068853.79840313,53875555.56635924,290655724.8891433,505210905.0309429
73565798.57717693,77343045.10678545,58943259.2646187,353391892.0618999,563243995.010481
76927760.64018837,71272328.24569605,70278179.4090767,266097145.37662816,484575413.67158926
90443055.21539724,89240918.98024905,58387440.06824863,306266969.2952559,544338383.5591508
90913868.76768804,84087434.75799145,59593895.63951365,257527804.1062027,492123003.2713958
94810307.80452678,80269380.17048235,69984994.61651705,323170577.1704592,568235259.7619854
78210008.67150718,76268875.05976436,67972347.7288781,281886616.6676621,504337848.12781173
117575054.33898386,86022576.74587367,61585772.74823535,327836548.2888296,593019952.1219225
74605322.02813555,80449711.35348338,76689337.38082804,287877191.50710124,519621562.2695482
101755064.28047456,82664473.16388138,76163666.74074563,395703020.30585223,656286224.4909538
83847483.45241253,69144180.21040234,57083601.76098368,265039216.52212486,475114481.9459234
86137816.25574431,78943661.05129051,69259970.8131194,339644807.32666594,573986255.4468201
87389709.98477572,90058180.37266967,68547597.5951965,426266978.7877221,672262466.7403641
96398301.04188855,70519087.67167562,56874934.502931714,308658843.50427336,532451166.7207692
84142396.03222124,81979821.6713039,71853815.46258183,309930328.9754008,547906362.1415077
76148971.24562362,61958630.69102994,57178299.47661022,317710318.3333143,512996219.7465781
90249674.73577599,66424567.5378298,64050987.42312217,312131094.18672955,532856323.88345754
75698342.08126935,75023018.8325932,65517692.88805909,265423072.82286143,481662126.62478304
92350470.84832197,82260304.78997527,77862828.91969395,360361466.57041717,612835071.1284084
69942829.80621009,64963048.110390134,64917162.8010222,315886202.6746096,515709243.39223206
94705697.61244003,120992483.49980919,85690318.88784285,385568440.3020891,686956940.3021812
101602424.94825459,84944865.0956588,67278086.97015104,337726196.59801126,591551573.6120757
77056332.0759986,72004602.43017474,60501542.96323806,298702507.9948226,508264985.464234
126337929.41380282,66724924.46865813,69847656.15313363,254799223.1779016,517709733.2134962
80860157.05672474,84838251.36296433,69203315.00521116,274282498.2179875,509184221.6428877
77769406.41119532,80209316.45407352,61408451.13641433,307461740.8736002,526848914.87528336
87846698.09131543,70707651.33648418,82805044.70458801,343561103.31335735,584920497.445745
63054101.28792423,72249776.81130907,58487325.334223285,322769871.74936116,516561075.18281776
76813679.09195809,72974635.85650335,68390761.69235371,337105289.6455832,555284366.2863984
71957980.6837753,70100297.7541651,59636858.52599694,272583479.74918467,474278616.713122
115701291.87867169,85031034.39954807,60726841.18056824,336251152.82631993,597710320.285108
122502733.85882847,92612741.5091015,61194693.88325878,289195264.06504786,565505433.3162366
106823302.79103063,73437267.51128003,69688866.45441046,337073811.5172161,587023248.2739372
75177999.49108976,73083766.93652901,43820501.93088922,243495969.72213444,435578238.08064246
83751131.29673481,65292969.78603204,75224939.25328319,262675342.61385605,486944382.9499061
81274115.91785291,76039861.74295625,78005564.56393468,268336278.942067,503655821.16681087
105063212.239014,79484491.54619272,60678138.236752816,316612549.6872973,561838391.7092569
90032657.92279959,71525996.99174918,65164948.968666665,288762498.687346,515486102.5705614
88807747.00499097,82493609.84139298,82511033.1220218,280711813.76266515,534524203.7310709
122716301.16239163,65640198.37739414,62696214.12279886,319073426.98611563,570126140.6487002
91221710.8756515,71553124.22462015,63121130.05569931,283086211.71570855,508982176.87167954
79353752.41106662,82174404.68627276,70641983.84500298,287211991.575448,519382132.5177903
100721128.2501776,81474797.45537558,75584594.48953757,340929703.9013305,598710224.0964212
76366324.44546781,69224222.60246225,68881973.42883916,326340822.5444397,540813343.0212089
86916536.16211694,77086622.83903125,77296642.93231551,295712980.7080667,537012782.6415304
95193012.2243341,75842631.50015281,64735386.0032068,344042004.11397696,579813033.8416706
99531680.2609858,86146823.92706515,81873495.10463034,325666350.3441907,593218349.636872
97271111.71982074,75269738.81923196,68927517.1662585,303184944.6310472,544653312.3363583
88573098.78238644,81809000.13224831,61826175.409556516,383561704.03237706,615769978.3565683
74231887.35617267,63777634.4204597,69841090.18222629,331732429.2310031,539583041.1898618
96374414.71814738,83710280.38567661,69070373.02713186,280350987.4497826,529506055.5807384
88273030.97474799,70576698.51515397,72060161.30460797,303638241.6671875,534548132.46169746
76409111.72973825,71168628.42915305,66946703.688106425,283882060.8562968,498406504.7032945
76449217.20514277,75976298.78546524,67372145.16146344,287865459.9943229,507663121.1463944
80871728.4039337,76848089.58895311,55593688.28127464,248230012.55555254,461543518.829714
77730304.81309243,72341908.5562273,66658286.429167025,359125285.4276752,575855785.226162
100046928.64319068,77077978.37319073,66946252.4024345,273026154.26192296,517097313.68073887
86949786.61317928,73562569.18013975,67740472.1042523,277591247.58706146,505844075.4846328
94770916.01142286,92572254.86611935,71011189.6740862,330578617.64669824,588932978.1983266
97398785.35358351,74505503.05611517,67842631.54597843,306744748.92562896,546491668.881306
88582746.26848963,69855336.8563099,64130236.18755012,317633130.17209136,540201449.484441
110021820.66615167,89622587.96201551,92637780.38230897,308061930.5151486,600344119.5256248
100282093.34744638,80237375.98097496,88417522.82797703,299735319.9283472,568672312.0847456
76235256.99542469,68884655.29525888,48903945.829305865,263463925.42731848,457487783.5473079
77225478.748039,75334606.58660235,67967350.97844923,379172707.6683728,599700143.9814634
101544227.30451348,73702619.12222748,59306631.15056093,313641791.1686929,548195268.7459948
70589111.51035161,89629110.63763335,79967085.42108214,305481327.913118,545666635.4821851
66284591.38827036,83618447.30949056,66410962.74964575,352805498.1531053,569119499.600512
67556679.8217427,67022528.04523454,61725976.64723795,296413915.9700832,492719100.48429835
81143796.62711772,80456674.21108134,59253378.784693375,292773993.4626938,513627843.08558625
88904196.72404943,81118630.32416262,73890917.3608534,276477436.6216796,520391181.030745
68212336.08333847,83426557.136378,70103292.14793295,284553255.7828917,506295441.1505411
111798020.89308107,81599821.12202407,79579601.14790222,324189819.08702445,597167262.2500318
121303970.40209933,100450883.67604025,73447564.1953669,359887519.7681681,655089938.0416746
96703024.00485712,91251213.21379574,63879365.63706634,332598449.58135015,584432052.4370693
103315710.54959802,64553279.35455837,54436141.08232715,226988412.81662583,449293543.8031094
83525599.45569454,81876636.83709444,81095579.04661821,324506928.6188128,571004743.95822
113193497.49701722,68849247.06578347,52863047.92562651,285169560.48590875,520075352.97433597
92739911.65688552,76885129.05137905,52174348.286152385,285080704.52328587,506880093.5177028
70767529.56537779,78421521.20199642,68844364.90971369,275769636.8763547,493803052.5534426
80318968.23529132,66100086.39397728,61647652.70198856,329432493.6653228,537499200.9965799
74473489.83675784,77831647.97062369,61937101.29037091,273417736.07381815,487659975.17157054
85725969.97063397,67269846.06987196,58844652.149233736,254983819.79732808,466824287.98706776
119452959.22148824,82069008.86992653,64134432.62464569,313402170.6423988,579058571.3584592
85653274.1923121,73887650.94807163,70171203.95212269,335971952.05579424,565684081.1483006
80105301.45922728,69852424.46539071,61448845.31634938,227479571.10939705,438886142.35036445
68419354.06133905,84348220.46417338,82288831.43853232,313619657.4803744,548676063.4444191
95643155.67322485,80561335.32517225,98074510.43812731,383461480.0316398,657740481.4681642
85439709.33083987,67840335.89079818,52102701.40229567,291063023.83901453,496445770.46294826
77259889.63553949,62830667.45399657,56209780.184375,253584522.19143903,449884859.4653501
114259362.50311789,89587272.73835024,71878875.46662898,375322267.0584809,651047777.766578
88295138.69994654,69095925.62099132,76248220.41798872,332446511.6309846,566085796.3699112
73861586.7624193,71700298.03264667,57493812.800493635,249052211.06568244,452107908.661242
101150720.57907465,98126666.96219622,62672049.57039825,328783634.2327033,590733071.3443724
78578869.49636632,70264276.25033695,59237952.26428293,266058344.0989985,474139442.1099847
87888204.3225103,69265778.33217068,65766998.49333353,299791525.4039794,522712506.5519939
83933999.96295527,67942715.62968989,58829520.945142016,319336693.9028322,530042930.4406194
94491636.98645656,69231127.98326907,64766852.03260012,327878880.3627847,556368497.3651104
66750392.55198958,76268528.98027627,60008158.43186488,316246002.61922306,519273082.58335376
77174464.33244196,60099973.74236119,49150078.45198259,278399999.90895134,464824516.4357371
90911535.1360174,69210237.27874848,68845108.87374958,251991283.94222167,480958165.23073715
86289986.0819652,66016330.98270004,57753482.1423952,292435688.86376154,502495488.070822
75983069.53994551,70561861.59405494,71551712.78004096,287808859.0783237,505905502.9923651
99695598.49297103,68857449.92018576,68271269.07337628,359645636.9305706,596469954.4171038
58703020.00652681,63457163.21221065,63979856.5081118,288458839.2116699,474598878.9385192
92548238.9783327,71943065.23588175,65575961.46492394,297224537.84401745,527291803.5231558
105140942.25979558,81771320.96569912,71766651.26986285,298987618.65755504,557666533.1529126
80657447.66016538,71128284.90554497,67043220.074421175,288914252.33566254,507743204.9757941
91350103.61969286,97740418.98794156,81303324.73422906,315527040.12868416,585920887.4705477
105705346.07749955,75841120.06101276,52558017.450607195,257176177.96697184,491280661.5560913
64632056.56163693,68279799.810696,62088653.88402537,358333012.09013104,553333522.3464893
91895213.83215363,75091909.6115528,72817711.64066367,241599875.84573802,481404710.9301082
90561238.81258711,83907126.67251596,57844826.8378281,339322526.9901964,571635719.3131275
92065620.58763692,73440732.70577456,70517533.9960455,400529259.57641065,636553146.8658676
89785109.8259222,78838992.2665763,63625725.94656023,274541290.66135025,506791118.700409
99610121.59744026,71053976.14720051,65476140.36395082,286334612.44852275,522474850.55711436
94160269.70451199,80484396.35467502,76875288.02434714,299641935.80712616,551161889.8906603
83519338.54914047,67310766.5660053,59516373.30001871,306333168.61116755,516679647.026332
98446977.73348172,70326288.0295927,71617903.12299855,360871250.49331135,601262419.3793843
93177110.19802016,95954337.45879968,66497430.57472322,270053398.8640411,525682277.09558415
65592062.82384855,84800325.74218605,73106093.95608953,311554587.67675024,535053070.19887435
91206764.52347758,67514656.60671018,84472161.1826822,324609866.6272949,567803448.9401648
88749137.51073621,83089581.45286703,72584313.83837493,322132989.304666,566556022.1066442
76838854.11566207,78091147.2019282,82740792.94501708,375307949.3543188,612978743.6169262
112553110.5914323,76017609.495774,59838629.4382391,294070001.5228617,542479351.0483072
