Electrical Infrastructure,PSA Oxygen Plant,Surgical Bed Expansion,Operational Costs,Total Cost
90591916.32599016,85091244.7533583,80059083.99292625,327157716.9363462,582899962.0086209
106100785.15110974,91891511.21757631,60909872.991357304,267129543.86830738,526031713.22835076
78126937.86228469,74862650.72348292,73881842.48548272,287452505.49676615,514323936.5680165
86137044.55395979,64558319.03533031,51520476.79724618,295290246.91651183,497506087.30304813
90382331.65690428,90825127.83534074,71082711.54813752,356178627.47169346,608468798.512076
69240413.85056643,73685865.20037366,72179339.25567658,339204983.7383865,554310602.0450032
101314047.99298534,65219101.648645386,62818104.73897212,275649815.1757352,505001069.556338
84563655.05631353,79624536.5734293,64623815.131424405,300123657.255792,528935664.01695925
77546749.17382357,69286345.4998299,66113363.03728859,238152764.22878745,451099221.9397296
70858658.49355914,73616177.3652188,62752715.01929472,351790773.5121971,559018324.3902698
71659485.87995927,68593444.43344131,63350732.50429409,285930363.52197576,489534026.3396704
107808054.1357424,84193949.25844896,66867079.52858095,375945483.96650594,634814566.8892782
97576804.08893298,79680500.02043998,57356035.76261128,260733295.91211787,495346635.7841021
92129665.17938969,82338602.04138133,58425319.297573045,310130598.02259934,543024184.5409434
78983257.36042792,82847160.43819712,53201536.837164104,337566630.10915184,552598584.744941
114708043.65685369,89899322.41079096,63634638.72311571,289251537.98890805,557493542.7796685
94678305.33747336,86145390.39220685,68339999.00703315,408143905.9723194,657307600.7090328
92834616.13499461,80456261.54892705,70627648.38536254,296368370.8234991,540286896.8927833
88520315.6276312,70230833.50578217,64907201.051790625,283909790.8094854,507568140.99468935
81604863.0581091,71434375.53294756,66040731.474172726,309039943.66906476,528119913.7342941
119768358.07026954,70942007.69359386,62793500.1061142,265859186.38900712,519363052.2589847
79046187.51204741,76036862.05699733,76205105.38293278,296263636.533919,527551791.48589647
67771402.43821594,65604894.36072063,63925387.91378604,295514422.1978711,492816106.9105937
100192486.33275293,91512283.0419069,63920962.61655817,313947491.9551002,569573223.9463181
77971582.92768931,67175470.48381029,66433872.72256119,280576871.5634275,492157797.6974883
103615070.48759288,83513052.42623997,65669942.121757075,336994813.4050772,589792878.4406672
97555422.40702708,78563400.29519622,67887253.04265422,257126612.78224415,501132688.52712166
66311057.03271014,94204485.01720937,64908282.64035217,288197129.1412189,513620953.8314906
110717729.20560113,84508863.45250122,56746471.186578214,393055283.7310099,645028347.5756905
71431109.39110683,64146558.63970647,51763547.697355464,280907715.8047389,468248931.53290766
